naics_sector,total_entities,total,fiscal_year
"Home centers, retail",23.0,9066800,2017
"Computer and software stores, retail",102.0,5745257,2017
"Appliance, other electronics, retail",124.0,2450915,2017
Furniture stores retail,140.0,4160946,2017
"Convenience stores, retail",186.0,4518142,2017
All Other Sectors,1213.0,15375457,2017
Total Retail,4068.0,86433765,2017
Manufacturing,1286.0,9555044,2017
Public Utilities,71.0,9806327,2017
Telecommunications,225.0,22068353,2017
Wholesale,1799.0,24732979,2017
Car and truck rental,88.0,8569943,2017
Construction,811.0,7068524,2017
Repair services,984.0,5880400,2017
Services other than repair services,2708.0,19480856,2017
Hotels,89.0,10231551,2017
"Restaurants, bars, concessionaires and caterers",2978.0,40533460,2017
Rentals except car and truck rentals,432.0,5377770,2017
"Restaurants, bars, concessionaires and caterers",3024.0,42624988,2018
Hotels,105.0,10459737,2018
Services other than repair services,2851.0,22136605,2018
Repair services,980.0,5996920,2018
Rentals except car and truck rentals,422.0,5967776,2018
Wholesale,1871.0,25816922,2018
Telecommunications,223.0,21337194,2018
Public Utilities,71.0,11275477,2018
Manufacturing,1343.0,10001620,2018
All Other Sectors,1244.0,17619835,2018
Car and truck rental,92.0,9069465,2018
Total Retail,4105.0,91144786,2018
Motor Vehicle Sales Tax,,37386667,2018
"Appliance, other electronics, retail",136.0,2645119,2018
"Computer and software stores, retail",97.0,6002813,2018
"Home centers, retail",18.0,9338358,2018
"Supermarkets, retail",238.0,4905719,2018
"Convenience stores, retail",184.0,4553224,2018
"Liquor and beer stores, retail",127.0,7197060,2018
"Pharmacies, retail",39.0,3849583,2018
"Department stores, retail",21.0,10960210,2018
"Office supplies stores, retail",44.0,1699118,2018
Other retail,3061.0,35703248,2018
Unclassified,1659.0,1138323,2018
Furniture stores retail,140.0,4290334,2018
Construction,819.0,7084417,2018
