name,fiscal_year,total,month_name,month,fiscal_month,year
net_profits,2019,3367881.0,oct,10,4,2018
birt,2019,16730911.0,oct,10,4,2018
sales,2019,13323110.0,oct,10,4,2018
amusement,2019,1864721.0,oct,10,4,2018
tobacco,2019,7391.0,oct,10,4,2018
parking,2019,7992378.0,oct,10,4,2018
valet,2019,143796.0,oct,10,4,2018
real_estate_transfer,2019,29175806.0,oct,10,4,2018
outdoor_ads,2019,290251.0,oct,10,4,2018
real_estate,2019,6646496.0,oct,10,4,2018
soda,2019,6604309.0,oct,10,4,2018
all_taxes,2019,227860988.0,oct,10,4,2018
other_taxes,2019,0.0,oct,10,4,2018
soda,2019,7024762.0,nov,11,5,2018
other_taxes,2019,1500.0,nov,11,5,2018
all_taxes,2019,175467683.0,nov,11,5,2018
real_estate,2019,5400389.0,nov,11,5,2018
outdoor_ads,2019,374961.0,nov,11,5,2018
real_estate_transfer,2019,22552161.0,nov,11,5,2018
valet,2019,189031.0,nov,11,5,2018
parking,2019,8756997.0,nov,11,5,2018
tobacco,2019,411.0,nov,11,5,2018
amusement,2019,2112224.0,nov,11,5,2018
sales,2019,14350592.0,nov,11,5,2018
birt,2019,1303394.0,nov,11,5,2018
net_profits,2019,899965.0,nov,11,5,2018
net_profits_pica,2019,436483.0,nov,11,5,2018
net_profits_city,2019,463482.0,nov,11,5,2018
earnings,2019,1134592.0,nov,11,5,2018
earnings_pica,2019,392020.0,nov,11,5,2018
earnings_city,2019,742572.0,nov,11,5,2018
wage,2019,146480067.0,nov,11,5,2018
wage_pica,2019,34284860.0,nov,11,5,2018
wage_city,2019,112195207.0,nov,11,5,2018
all_taxes,2019,208717734.0,dec,12,6,2018
real_estate,2019,22322958.0,dec,12,6,2018
wage_city,2019,117855677.0,dec,12,6,2018
wage_pica,2019,40717141.0,dec,12,6,2018
other_taxes,2019,61400.0,dec,12,6,2018
soda,2019,5625167.0,dec,12,6,2018
outdoor_ads,2019,241825.0,dec,12,6,2018
real_estate_transfer,2019,26287274.0,dec,12,6,2018
valet,2019,160726.0,dec,12,6,2018
parking,2019,7734876.0,dec,12,6,2018
tobacco,2019,300.0,dec,12,6,2018
amusement,2019,1008803.0,dec,12,6,2018
sales,2019,13289361.0,dec,12,6,2018
birt,2019,12835878.0,dec,12,6,2018
net_profits,2019,1458535.0,dec,12,6,2018
net_profits_pica,2019,567403.0,dec,12,6,2018
net_profits_city,2019,891132.0,dec,12,6,2018
earnings,2019,630326.0,dec,12,6,2018
earnings_pica,2019,227969.0,dec,12,6,2018
earnings_city,2019,402357.0,dec,12,6,2018
wage,2019,158572818.0,dec,12,6,2018
all_taxes,2019,305385372.0,jan,1,7,2019
other_taxes,2019,8700.0,jan,1,7,2019
real_estate,2019,52203643.0,jan,1,7,2019
outdoor_ads,2019,282692.0,jan,1,7,2019
real_estate_transfer,2019,25274253.0,jan,1,7,2019
valet,2019,143495.0,jan,1,7,2019
parking,2019,7786397.0,jan,1,7,2019
tobacco,2019,584627.0,jan,1,7,2019
