date,year,month,fiscal_year,total,naics_sector
2025-04-30,2025,4,2025,2271266.0605122545,Banking and Related Activities
2025-05-31,2025,5,2025,655084.8571492023,Banking and Related Activities
2025-06-30,2025,6,2025,217704.99853263865,Banking and Related Activities
2013-07-31,2013,7,2014,86023.80198098287,Business Support Services **1
2013-08-31,2013,8,2014,94934.74915690243,Business Support Services **1
2013-09-30,2013,9,2014,295472.03177947155,Business Support Services **1
2013-10-31,2013,10,2014,298401.995602579,Business Support Services **1
2013-12-31,2013,12,2014,205152.7409119044,Business Support Services **1
2014-01-31,2014,1,2014,396275.6106131343,Business Support Services **1
2014-02-28,2014,2,2014,101161.75469132538,Business Support Services **1
2014-03-31,2014,3,2014,851395.171605148,Business Support Services **1
2014-04-30,2014,4,2014,5186671.690623087,Business Support Services **1
2014-05-31,2014,5,2014,1169105.0094922283,Business Support Services **1
2014-06-30,2014,6,2014,238611.11834556732,Business Support Services **1
2014-07-31,2014,7,2015,111523.6584925385,Business Support Services **1
2014-08-31,2014,8,2015,93384.45199006872,Business Support Services **1
2014-09-30,2014,9,2015,306360.635868436,Business Support Services **1
2014-10-31,2014,10,2015,294638.4401378245,Business Support Services **1
2014-11-30,2014,11,2015,54669.058839558595,Business Support Services **1
2014-12-31,2014,12,2015,237353.4617916636,Business Support Services **1
2015-01-31,2015,1,2015,319689.85617759806,Business Support Services **1
2015-02-28,2015,2,2015,82494.17526246306,Business Support Services **1
2015-03-31,2015,3,2015,869145.4991982664,Business Support Services **1
2015-04-30,2015,4,2015,5362424.078698102,Business Support Services **1
2015-05-31,2015,5,2015,889551.5690277378,Business Support Services **1
2015-07-31,2015,7,2016,138316.24532981584,Business Support Services **1
2015-08-31,2015,8,2016,93253.89544363717,Business Support Services **1
2015-09-30,2015,9,2016,323524.24212099705,Business Support Services **1
2015-10-31,2015,10,2016,298216.0054162931,Business Support Services **1
2015-11-30,2015,11,2016,59067.36331438755,Business Support Services **1
2015-12-31,2015,12,2016,277807.33277370565,Business Support Services **1
2016-01-31,2016,1,2016,253413.7384911134,Business Support Services **1
2016-02-29,2016,2,2016,149828.08281197964,Business Support Services **1
2016-03-31,2016,3,2016,850408.230523624,Business Support Services **1
2016-04-30,2016,4,2016,4988998.913337491,Business Support Services **1
2016-05-31,2016,5,2016,1803943.7414768299,Business Support Services **1
2016-07-31,2016,7,2017,63388.546484762155,Business Support Services **1
2016-08-31,2016,8,2017,101723.29485246957,Business Support Services **1
2016-09-30,2016,9,2017,301215.5664801912,Business Support Services **1
2016-10-31,2016,10,2017,321507.1155568643,Business Support Services **1
2016-11-30,2016,11,2017,52933.40852747461,Business Support Services **1
2016-12-31,2016,12,2017,184293.42315686747,Business Support Services **1
2017-01-31,2017,1,2017,511012.4470125597,Business Support Services **1
2017-02-28,2017,2,2017,132806.9528770106,Business Support Services **1
2017-03-31,2017,3,2017,912658.3221406311,Business Support Services **1
2017-04-30,2017,4,2017,5485856.093030081,Business Support Services **1
2017-05-31,2017,5,2017,1597511.1936609019,Business Support Services **1
2017-07-31,2017,7,2018,95273.75419513867,Business Support Services **1
2017-08-31,2017,8,2018,105659.18684930647,Business Support Services **1
2017-09-30,2017,9,2018,332957.4169692065,Business Support Services **1
2017-10-31,2017,10,2018,340546.6298404658,Business Support Services **1
2017-11-30,2017,11,2018,60147.27646789485,Business Support Services **1
2017-12-31,2017,12,2018,239986.4868205543,Business Support Services **1
2018-01-31,2018,1,2018,469315.65553995455,Business Support Services **1
2018-03-31,2018,3,2018,1032220.090168107,Business Support Services **1
2018-04-30,2018,4,2018,6362320.730424763,Business Support Services **1
2018-05-31,2018,5,2018,1453096.0506934563,Business Support Services **1
2018-06-30,2018,6,2018,300325.6949840873,Business Support Services **1
2018-07-31,2018,7,2019,141542.5364133419,Business Support Services **1
2018-08-31,2018,8,2019,120033.4550734079,Business Support Services **1
2018-09-30,2018,9,2019,398590.58480350015,Business Support Services **1
2018-10-31,2018,10,2019,388115.5784153909,Business Support Services **1
2018-11-30,2018,11,2019,72871.32062390393,Business Support Services **1
