date,year,month,fiscal_year,total,naics_sector
2016-05-31,2016,5,2016,5573257.25361835,Construction
2016-06-30,2016,6,2016,4756900.95854104,Construction
2016-07-31,2016,7,2017,5254064.817971699,Construction
2016-08-31,2016,8,2017,5550705.622181965,Construction
2016-09-30,2016,9,2017,4965596.568432269,Construction
2016-10-31,2016,10,2017,5830677.711504434,Construction
2016-11-30,2016,11,2017,5106029.272759428,Construction
2016-12-31,2016,12,2017,4668893.788109333,Construction
2017-01-31,2017,1,2017,7108763.594273228,Construction
2017-02-28,2017,2,2017,5196850.972345702,Construction
2017-03-31,2017,3,2017,5854931.723438641,Construction
2017-04-30,2017,4,2017,5918372.989220221,Construction
2017-05-31,2017,5,2017,5602418.6374526955,Construction
2017-06-30,2017,6,2017,4881990.643924829,Construction
2017-07-31,2017,7,2018,5910799.638003905,Construction
2017-08-31,2017,8,2018,5527235.022669454,Construction
2017-09-30,2017,9,2018,5240567.438214476,Construction
2017-10-31,2017,10,2018,6162899.413228728,Construction
2017-11-30,2017,11,2018,5370905.076187567,Construction
2017-12-31,2017,12,2018,5040042.727402531,Construction
2018-01-31,2018,1,2018,7419101.342393645,Construction
2018-02-28,2018,2,2018,5328784.932569883,Construction
2018-03-31,2018,3,2018,6038978.261803308,Construction
2018-04-30,2018,4,2018,6658943.032356174,Construction
2018-05-31,2018,5,2018,5597779.786414147,Construction
2018-06-30,2018,6,2018,5000495.137695617,Construction
2018-07-31,2018,7,2019,6601119.867094682,Construction
2018-08-31,2018,8,2019,5467722.077423742,Construction
2018-09-30,2018,9,2019,5520393.773725788,Construction
2018-10-31,2018,10,2019,6498032.5634156065,Construction
2018-11-30,2018,11,2019,5636288.523438272,Construction
2018-12-31,2018,12,2019,5421525.083618783,Construction
2019-01-31,2019,1,2019,7718019.945094868,Construction
2019-02-28,2019,2,2019,5448865.952609546,Construction
2019-03-31,2019,3,2019,6218862.496369529,Construction
2019-04-30,2019,4,2019,7436963.759249339,Construction
2019-05-31,2019,5,2019,5558970.748439237,Construction
2019-06-30,2019,6,2019,5113527.340916907,Construction
2019-07-31,2019,7,2020,7356083.722519006,Construction
2019-08-31,2019,8,2020,5395592.91943375,Construction
2019-09-30,2019,9,2020,5831029.928302087,Construction
2019-10-31,2019,10,2020,6865970.102771532,Construction
2019-11-30,2019,11,2020,5928012.3828555355,Construction
2019-12-31,2019,12,2020,5838214.063818033,Construction
2020-01-31,2020,1,2020,8039815.761347917,Construction
2020-02-29,2020,2,2020,6137033.29512737,Construction
2020-03-31,2020,3,2020,6875796.174013383,Construction
2020-04-30,2020,4,2020,6325470.911770812,Construction
2020-05-31,2020,5,2020,6752686.959803556,Construction
2020-06-30,2020,6,2020,5758859.722675145,Construction
2020-07-31,2020,7,2021,6416814.81262362,Construction
2020-08-31,2020,8,2021,6773533.620840516,Construction
2020-09-30,2020,9,2021,6054745.365709284,Construction
2020-10-31,2020,10,2021,7103844.991237373,Construction
2020-11-30,2020,11,2021,6216153.997814189,Construction
2020-12-31,2020,12,2021,5679500.493191456,Construction
2021-01-31,2021,1,2021,8640735.217540292,Construction
2021-02-28,2021,2,2021,6312372.186071026,Construction
